id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchase,numwebpurchases,numcatalogpurcha,numstorepurchase,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,totalchildren,totalspending,totalpurchases,totalcampaignsac,age,familysize,costumertenuredays,spendingincomeratio,webpurchaseratio,storepurchaserat,webconversionrate,dealpurchaseratio,campaignacceptancerate,is_parent,pc1,pc2,cluster
2569,1987,2,1,17323,0,0,10/10/12,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,46,4,0,34,2,627,0.002655429,0.2,0.6,0.111111111,0.2,0,0,-3.280757228,-2.589729038,2
2114,1946,3,3,82800,0,0,11/24/12,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,1315,25,3,75,1,582,0.015881643,0.269230769,0.461538462,1.75,0.038461538,0.5,0,3.939259542,1.49578811,1
9736,1980,2,1,41850,1,1,12/24/12,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,96,6,0,41,4,552,0.002293907,0.428571429,0.428571429,0.333333333,0.428571429,0,1,-2.539316383,1.000609876,2
4939,1946,2,2,37760,0,0,8/31/12,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,317,11,0,75,2,667,0.008395127,0.333333333,0.5,0.5,0.166666667,0,0,-0.478471609,0.445787217,3
6565,1949,3,1,76995,0,1,3/28/13,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,1782,24,1,72,3,458,0.02314436,0.44,0.36,1.833333333,0.08,0.166666667,1,3.431752607,1.268577577,1
2278,1985,1,3,33812,1,0,11/3/12,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,133,6,0,36,2,603,0.003933515,0.285714286,0.428571429,0.285714286,0.285714286,0,1,-2.000186331,-1.437132106,2
9360,1982,2,1,37040,0,0,8/8/12,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,316,11,0,39,2,690,0.008531317,0.333333333,0.416666667,0.444444444,0.083333333,0,0,-0.49750167,-1.061964841,2
5376,1979,2,1,2447,1,0,1/6/13,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,1730,28,0,42,3,539,0.706988149,0,0,0,0.517241379,0,1,0.207590249,-4.489606836,1
1993,1949,3,1,58607,0,1,12/23/12,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,972,14,1,72,3,553,0.01658505,0.133333333,0.6,0.222222222,0.2,0.166666667,1,0.449664849,2.958323206,3
4047,1954,3,1,65324,0,1,1/11/14,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,544,17,0,67,3,169,0.00832772,0.333333333,0.5,1.2,0.166666667,0,1,1.11029701,1.434711018,3
1409,1951,2,2,40689,0,1,3/18/13,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,444,13,0,70,3,468,0.01091204,0.5,0.357142857,0.777777778,0.5,0,1,-0.482741241,2.464015349,3
7892,1969,2,3,18589,0,0,1/2/13,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,75,6,0,52,1,543,0.004034644,0.285714286,0.428571429,0.25,0.285714286,0,0,-2.216393636,-2.079454783,2
2404,1976,2,1,53359,1,1,5/27/13,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,257,10,0,45,4,398,0.004816432,0.454545455,0.363636364,0.625,0.363636364,0,1,-1.136209054,1.835105859,3
9422,1989,2,1,38360,1,0,5/31/13,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,131,7,0,32,3,394,0.003415016,0.25,0.5,0.5,0.25,0,1,-1.407482822,-1.568699566,2
1966,1965,3,1,84618,0,0,11/22/13,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,1672,25,1,56,2,219,0.019759389,0.230769231,0.384615385,2,0.038461538,0.166666667,0,4.064554263,-1.222467028,1
6864,1989,3,3,10979,0,0,5/22/14,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,30,6,0,32,1,38,0.002732489,0.428571429,0.428571429,0.5,0.285714286,0,0,-2.501328444,-2.513251582,2
3033,1963,3,2,38620,0,0,5/11/13,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,318,10,0,58,2,414,0.008234076,0.181818182,0.272727273,0.5,0.090909091,0,0,0.340479575,-0.264023964,3
5710,1970,2,2,40548,0,1,10/10/12,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,120,7,1,51,3,627,0.002959455,0.25,0.5,0.333333333,0.25,0.166666667,1,-1.149192627,2.133400204,3
7373,1952,3,3,46610,0,2,10/29/12,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,2,302,11,1,69,3,608,0.006479296,0.333333333,0.5,0.571428571,0.5,0.166666667,1,-0.608479987,0.461957497,3
8755,1946,3,1,68657,0,0,2/20/13,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,1196,17,0,75,2,494,0.017419928,0.166666667,0.5,0.375,0.055555556,0,0,1.465519916,-0.258677495,1
10738,1951,3,3,49389,1,1,8/29/13,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2,65,5,0,70,3,304,0.001316083,0.333333333,0.5,0.25,0.166666667,0,1,-1.732894756,0.771062713,2
4339,1970,3,1,67353,0,1,12/31/13,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,913,23,0,51,3,180,0.013555447,0.208333333,0.5,1.666666667,0.208333333,0,1,2.037505038,1.220227844,3
10755,1976,1,1,23718,1,0,9/2/13,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,81,6,0,45,3,300,0.003415128,0.428571429,0.285714286,0.375,0.428571429,0,1,-2.564585399,-0.529341927,2
8595,1973,2,3,42429,0,1,2/11/14,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,67,5,0,48,2,138,0.001579109,0.166666667,0.5,0.166666667,0.333333333,0,1,-1.998677776,1.050955288,2
2968,1943,3,3,48948,0,0,2/1/13,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,902,22,2,78,1,513,0.018427719,0.304347826,0.217391304,1,0.086956522,0.333333333,0,2.869175939,0.670804533,1
8601,1980,2,1,80011,0,1,4/29/13,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,1395,19,0,41,3,426,0.017435103,0.4,0.25,1.6,0.1,0,1,2.396420968,-0.981588875,1
503,1985,3,1,20559,1,0,3/12/13,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,53,5,0,36,3,474,0.002577946,0.333333333,0.5,0.222222222,0.333333333,0,1,-3.06470016,-2.0852753,2
8430,1957,2,2,21994,0,1,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,22,3,0,64,3,552,0.001000273,0,0.75,0,0.25,0,1,-3.526784732,-0.361116302,2
2139,1975,3,1,7500,1,0,10/2/13,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,31,5,0,46,3,270,0.004133333,0.333333333,0.5,0.333333333,0.5,0,1,-3.687003484,-1.614103977,2
1371,1976,2,3,79941,0,0,6/28/14,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,984,15,0,45,1,1,0.012309078,0.125,0.5625,1,0.0625,0,0,1.98471293,-2.355155098,1
9909,1996,1,1,7500,0,0,11/9/12,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,122,7,1,25,2,597,0.016266667,0.375,0.375,0.3,0.375,0.166666667,0,-2.50829699,-1.342336988,2
7286,1968,2,2,41728,1,0,5/24/13,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,55,4,0,53,3,401,0.00131806,0.4,0.4,0.181818182,0.2,0,1,-2.641325745,-0.273755588,2
6566,1954,3,1,72550,1,1,11/8/12,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,1319,19,0,67,4,598,0.018180565,0.25,0.6,0.555555556,0.45,0,1,0.270902961,2.143783149,3
8614,1957,2,3,65486,0,1,5/12/14,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,507,16,0,64,2,48,0.007742113,0.235294118,0.588235294,1.333333333,0.058823529,0,1,1.619391365,-0.360713936,1
4114,1964,3,1,79143,0,0,8/11/12,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,1693,28,0,57,2,687,0.021391658,0.206896552,0.448275862,1.5,0.034482759,0,0,3.529794953,-1.293109568,1
1331,1977,2,3,35790,1,0,1/2/13,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,72,5,0,44,2,543,0.002011735,0.333333333,0.5,0.25,0.333333333,0,1,-2.421551444,-1.343118315,2
2225,1977,2,3,82582,0,0,6/7/14,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,1617,20,3,44,1,22,0.019580538,0.19047619,0.333333333,2,0.047619048,0.5,0,3.961579865,-1.730089256,1
9381,1978,2,1,66373,1,1,6/12/13,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,606,16,0,43,4,382,0.009130219,0.235294118,0.588235294,1,0.411764706,0,1,0.103850867,0.765822086,3
6260,1955,3,2,82384,0,0,11/19/12,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,1957,26,2,66,2,587,0.023754613,0.111111111,0.481481481,1.5,0.037037037,0.333333333,0,4.098112375,0.248827043,1
10383,1966,2,3,70287,0,0,4/2/13,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,1093,20,1,55,1,453,0.015550529,0.238095238,0.476190476,1.25,0.047619048,0.166666667,0,3.00582605,-1.957226628,1
7437,1988,2,3,27938,1,0,4/28/14,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,29,5,0,33,2,62,0.001038013,0.166666667,0.666666667,0.25,0.166666667,0,1,-2.303485122,-1.748336063,2
8375,1968,3,1,55954,0,1,3/3/14,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,518,16,0,53,3,118,0.009257604,0.470588235,0.352941176,1,0.176470588,0,1,0.619596482,2.33291256,3
6853,1982,3,3,75777,0,0,7/4/13,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,1438,20,3,39,1,360,0.018976734,0.142857143,0.523809524,1.5,0.047619048,0.5,0,3.520261927,-1.720342659,1
3076,1975,2,2,66653,1,1,9/7/12,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,612,18,0,46,4,660,0.009181882,0.210526316,0.631578947,1,0.210526316,0,1,0.606010989,1.296062307,3
1012,1952,2,3,61823,0,1,2/18/13,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,884,20,0,69,2,496,0.014298886,0.380952381,0.476190476,1,0.19047619,0,1,1.352102189,1.331325256,3
6518,1951,3,3,67680,0,1,6/11/13,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,606,18,0,70,2,383,0.008953901,0.368421053,0.421052632,1.166666667,0.052631579,0,1,1.860172571,2.01364363,3
4137,1948,2,2,70666,0,0,12/6/13,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,1076,15,0,73,2,205,0.015226559,0.4375,0.25,1.4,0.0625,0,0,2.475700884,-0.268028507,1
8082,1971,2,1,25721,1,0,5/21/13,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,34,4,1,50,3,404,0.001321877,0.2,0.4,0.125,0.2,0.166666667,1,-2.693124038,-0.739580953,2
1386,1967,2,2,32474,1,1,5/11/14,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,11,3,0,54,4,49,0.000338733,0.25,0.5,0.125,0.25,0,1,-3.368662793,2.057094324,2
9369,1979,1,3,88194,0,1,3/19/14,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,1274,31,3,42,2,102,0.014445427,0.34375,0.3125,1.833333333,0.03125,0.5,1,3.768727073,0.062317461,1
4477,1958,2,2,69096,0,1,9/27/13,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,653,17,0,63,3,275,0.009450619,0.277777778,0.555555556,1,0.055555556,0,1,1.260130731,-0.000513156,3
1357,1970,2,2,74854,1,2,4/8/13,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3,1562,12,0,51,5,447,0.020867288,0.153846154,0.384615385,0.333333333,0.538461538,0,1,0.005334554,1.454335469,3
1402,1954,3,1,66991,0,0,9/11/12,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,1253,18,0,67,2,656,0.018704005,0.210526316,0.315789474,1,0.157894737,0,0,2.290258895,-0.40894091,1
6312,1959,2,1,65031,0,1,3/17/13,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,863,26,0,62,3,469,0.013270594,0.37037037,0.481481481,1.25,0.148148148,0,1,1.565711466,0.01952278,1
8132,1975,3,1,60631,1,1,4/5/13,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,2,661,19,1,46,4,450,0.010902014,0.45,0.4,1.125,0.25,0.166666667,1,0.917461952,2.641690455,3
1050,1952,2,1,28332,0,0,4/30/14,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,65,7,0,69,2,60,0.002294226,0.25,0.5,0.666666667,0.125,0,0,-0.935199996,-0.93077619,2
5846,1977,2,3,40246,1,0,12/19/12,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,13,3,0,44,2,557,0.000323013,0.25,0.5,0.142857143,0.25,0,1,-2.82262917,-2.318549662,2
1859,1972,3,1,75251,0,0,8/27/12,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,1890,18,1,49,2,671,0.025115945,0.368421053,0.263157895,1.166666667,0.052631579,0.166666667,0,3.20988684,-1.238415877,1
7503,1976,2,3,75825,0,0,10/12/12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,2209,22,2,45,1,625,0.029132872,0.217391304,0.391304348,1,0,0.333333333,0,3.832704329,-1.227288075,1
10401,1976,1,2,26326,0,0,9/4/13,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,18,3,0,45,2,298,0.000683735,0,0.75,0,0.25,0,0,-3.361799129,-2.385507683,2
1618,1965,2,2,56046,0,0,1/2/13,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,692,19,2,56,2,543,0.012347001,0.5,0.4,1.111111111,0.1,0.333333333,0,1.765140158,1.948634252,3
3332,1985,2,3,29760,1,0,8/29/12,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,165,8,0,36,2,669,0.005544355,0.333333333,0.444444444,0.333333333,0.444444444,0,1,-1.884149467,-1.273837691,2
2261,1969,2,1,26304,1,0,6/23/13,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,16,3,0,52,3,371,0.000608273,0.25,0.5,0.125,0.25,0,1,-3.367320257,-0.861112308,2
5346,1973,1,1,23559,1,0,7/3/13,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,79,6,0,48,3,361,0.003353283,0.428571429,0.428571429,0.375,0.428571429,0,1,-2.575266393,-0.198852329,2
4119,1963,3,2,38620,0,0,5/11/13,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,318,10,0,58,2,414,0.008234076,0.181818182,0.272727273,0.5,0.090909091,0,0,0.340479575,-0.264023964,3
535,1987,2,3,81361,0,0,2/25/14,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,778,26,0,34,1,124,0.009562321,0.111111111,0.481481481,1.5,0.037037037,0,0,2.939538972,-3.478634935,1
5268,1960,2,1,29440,1,1,8/11/13,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,56,5,0,61,4,322,0.001902174,0.166666667,0.666666667,0.125,0.333333333,0,1,-3.271517823,0.267013228,2
273,1970,3,1,36138,1,1,7/16/13,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,2,151,8,1,51,4,348,0.004178427,0.333333333,0.444444444,0.375,0.555555556,0.166666667,1,-1.755282149,2.641319181,3
4452,1957,2,3,50388,0,1,5/28/14,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,372,13,3,64,2,32,0.00738271,0.428571429,0.428571429,0.75,0.285714286,0.5,1,0.419573589,2.053035122,3
8504,1973,2,1,79593,0,0,5/12/14,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,1366,18,1,48,2,48,0.017162313,0.263157895,0.368421053,1.666666667,0.052631579,0.166666667,0,3.194481822,-1.66046179,1
771,1967,2,2,54178,0,1,1/21/14,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,194,9,0,54,3,159,0.003580789,0.2,0.5,0.666666667,0.1,0,1,-0.0168003,0.442950017,3
11178,1972,3,3,42394,1,0,3/23/14,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,32,4,0,49,2,98,0.000754824,0.2,0.6,0.125,0.2,0,1,-2.49956559,-0.825442515,2
2230,1970,3,1,23626,1,0,5/24/14,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,43,7,0,51,3,36,0.001820029,0.375,0.375,0.5,0.375,0,1,-2.090804075,0.125827801,2
7516,1983,2,1,30096,1,0,5/22/14,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,45,5,0,38,3,38,0.001495215,0.333333333,0.5,0.285714286,0.166666667,0,1,-2.538809143,-1.476909968,2
7247,1960,2,3,47916,0,1,11/22/12,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,606,17,1,61,2,584,0.012647132,0.388888889,0.333333333,1,0.277777778,0.166666667,1,1.299714591,2.347745556,3
11100,1972,2,3,51813,1,1,4/11/13,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,63,5,0,49,3,444,0.001215911,0.333333333,0.5,0.25,0.333333333,0,1,-2.224464419,1.603824697,2
4646,1951,1,1,78497,0,0,12/1/13,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,978,24,1,70,2,210,0.012459075,0.2,0.48,1.666666667,0.04,0.166666667,0,3.300921635,-1.375450668,1
3037,1983,3,1,50150,0,0,6/20/13,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,410,14,0,38,2,374,0.008175474,0.333333333,0.466666667,0.833333333,0.133333333,0,0,0.340962733,-1.013696577,3
1473,1960,1,3,47823,0,1,7/23/13,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,72,5,0,61,2,341,0.001505552,0.333333333,0.5,0.222222222,0.333333333,0,1,-2.10863793,1.61331145,2
1016,1959,3,3,34554,0,1,3/30/14,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,55,5,0,62,2,91,0.001591712,0.333333333,0.5,0.285714286,0.333333333,0,1,-2.070684069,1.235926794,2
4518,1979,2,2,85693,0,1,4/20/13,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1,1169,25,0,42,3,435,0.013641721,0.346153846,0.423076923,1.5,0.076923077,0,1,2.158914944,0.0365481,1
9370,1945,3,1,65846,0,0,5/17/13,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,1120,15,0,76,2,408,0.017009386,0.375,0.375,1.2,0.0625,0,0,2.290747796,0.450736338,1
8908,1959,2,1,87195,0,0,5/8/14,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,1097,19,1,62,2,52,0.012580997,0.15,0.25,1.5,0.05,0.166666667,0,3.485640106,-2.288388109,1
8373,1979,1,2,24594,1,0,12/10/13,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,29,4,0,42,3,201,0.001179149,0.2,0.6,0.166666667,0.2,0,1,-3.150419164,-1.590567209,2
7533,1964,2,1,49096,1,1,9/24/13,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,187,9,0,57,4,278,0.003808864,0.4,0.4,0.5,0.4,0,1,-1.423341205,2.167398776,3
2683,1969,2,1,52413,0,2,2/2/13,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,910,22,0,52,4,512,0.017362105,0.260869565,0.52173913,0.857142857,0.173913043,0,1,0.849942111,0.200847297,3
3629,1978,2,3,38557,1,0,12/19/12,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,145,7,0,43,2,557,0.003760666,0.375,0.375,0.375,0.25,0,1,-1.36997985,-0.109897133,2
10991,1960,3,1,89058,0,0,12/7/12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,850,13,0,61,2,569,0.009544342,0.357142857,0.285714286,1.666666667,0.071428571,0,0,2.304039554,0.499745325,1
5077,1979,2,2,77298,0,1,11/2/13,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,1,969,23,0,42,3,239,0.0125359,0.25,0.458333333,1.5,0.041666667,0,1,2.326179512,-0.627713629,1
7431,1991,3,3,68126,0,0,11/10/12,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,1820,16,2,30,1,596,0.026715204,0.411764706,0.294117647,0.7,0.058823529,0.333333333,0,2.409731071,0.344282866,1
3267,1963,3,2,57288,0,1,6/25/14,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,608,17,1,58,3,4,0.010613043,0.444444444,0.444444444,1.142857143,0.166666667,0.166666667,1,1.265885116,2.592439572,3
999,1991,2,3,86037,0,0,1/2/13,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,730,24,3,30,1,543,0.008484722,0.24,0.44,1.5,0.04,0.5,0,3.00868941,-0.464476321,1
9215,1980,3,1,43974,1,0,12/12/12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1,551,16,0,41,3,564,0.012530131,0.352941176,0.352941176,0.75,0.294117647,0,1,0.126879756,1.104016756,3
2286,1962,2,3,50785,1,1,9/10/13,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,114,6,0,59,3,292,0.002244757,0.285714286,0.428571429,0.285714286,0.285714286,0,1,-1.631491159,0.922820085,2
1592,1970,2,1,90765,0,0,1/24/14,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0,1724,15,2,51,2,156,0.018994106,0.25,0.3125,2,0,0.333333333,0,3.88406143,-1.791572055,1
367,1978,1,1,36550,1,0,2/19/13,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,577,15,0,43,3,495,0.015786594,0.5625,0.3125,0.9,0.3125,0,1,-0.31293383,-0.117059906,3
5234,1967,1,2,30753,1,1,7/11/13,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,2,81,5,0,54,4,353,0.002633889,0.166666667,0.5,0.166666667,0.333333333,0,1,-2.700239154,-0.612250185,2
